OBJECTID,DISTRICT,SDID,CESA,LEAID,TYPE,PCT_NO,PCT_NO_AF,PCT_NO_AV,PCT_YES,PCT_DIST_1,PCT_RELIAB_1,PCT_PAR_UN,PCT_COM_UN,PCT_UNRELI,PCT_DIST_3,Shape__Area,Shape__Length
1,Abbotsford,0007,10,5500030,Unified,11.88119,18.33333,71.66666,88.11881,61.36087,64.73029,69.41177,30.58824,35.26971,58.56622,1198925458.1546,264732.005598648
2,Adams-Friendship Area,0014,5,5500060,Unified,3.926941,34.88372,53.48837,96.07306,78.6638,70.96466,93.0921,6.907895,29.03534,75.21552,13584582155.2146,613782.778544992
3,Albany,0063,2,5500120,Unified,7.569721,21.05263,52.63158,92.43028,84.51179,70.91634,80.82191,19.17808,29.08367,84.51179,1875889899.31562,396703.529250189
4,Algoma,0070,7,5500150,Unified,,,,,0,,,,,0,1905791914.56384,212725.497300036
5,Alma,0084,4,5500180,Unified,2.912621,,83.33334,97.08738,83.06451,63.23529,80,20,36.76471,82.25806,3819825454.70317,865623.861789474
6,Alma Center,0091,4,5500210,Unified,5.031446,58.33333,33.33333,94.96855,81.12245,58.9404,89.78494,10.21505,41.0596,77.04082,3725875985.6685,383589.801160723
7,Almond-Bancroft,0105,5,5500240,Unified,10.08902,41.17647,52.94118,89.91098,85.31645,69.69697,71,29,30.30303,83.5443,3023026323.69196,465671.251346543
8,Altoona,0112,10,5500270,Unified,2.307692,61.11111,33.33333,97.69231,82.40887,90.15102,94.66666,5.333333,9.848982,80.45431,363871986.158287,189954.608167264
9,Amery,0119,11,5500300,Unified,7.142857,62.5,15.625,92.85714,30.3523,38.83929,82.84672,17.15328,61.16071,30.3523,4544289877.82799,635404.528146738
10,Antigo Unified,0140,9,5500360,Unified,8.213257,38.59649,57.89474,91.78674,32.891,60.80692,83.08823,16.91176,39.19308,32.891,15137053204.493,780691.450072072
11,Appleton Area,0147,6,5500390,Unified,2.583953,43.96887,48.63813,97.41605,63.58928,82.49548,87.19127,12.80873,17.50452,63.58928,1244386937.8555,190810.326185828
12,Arcadia,0154,4,5500420,Unified,6.001559,16.88312,61.03896,93.99844,98.2389,80.59236,63.45382,36.54618,19.40764,98.2389,5965067493.23605,784297.429903894
13,Argyle,0161,3,5500450,Unified,5.535055,6.666667,73.33334,94.46494,93.12715,65.4902,92.04546,7.954545,34.5098,87.62887,2323512599.00486,498446.035334038
